"Triad","Narration","Listener","OldOrNew","Transcript","Audience","Hedges","Rising Intonation","ID"
1,1,1,"New","it’s a uh a roadrunner and coyote cartoon","okay",NA,NA,"1-1-1-New"
1,1,1,"New","you’ve seen that before right?","yeah",NA,NA,"1-1-1-New"
1,1,1,"New","okay",NA,NA,NA,"1-1-1-New"
1,1,1,"New","so it starts off and the coyote’s got a fork and a knife",NA,NA,NA,"1-1-1-New"
1,1,1,"New","and he’s chasinn’ the roadrunner",NA,NA,NA,"1-1-1-New"
1,1,1,"New","and then they stop on each of them",NA,NA,NA,"1-1-1-New"
1,1,1,"New","and they give them like the Latin names underneath",NA,"like",NA,"1-1-1-New"
1,1,1,"New","it’s like acc acceleritis you know maximus",NA,"like, you know",NA,"1-1-1-New"
1,1,1,"New","and carnivorus vulgaris ? is the coyote",NA,NA,"?","1-1-1-New"
1,1,1,"New","and he misses him with the fork and the knife",NA,NA,NA,"1-1-1-New"
1,1,1,"New","and gets stuck on the ground","okay",NA,NA,"1-1-1-New"
1,1,1,"New","and uh so he sits there and he’s trying to think of a plan",NA,NA,NA,"1-1-1-New"
1,1,1,"New","you know to get the roadrunner back",NA,"you know",NA,"1-1-1-New"
1,1,1,"New","and he ends up tying a boxing glove",NA,NA,NA,"1-1-1-New"
1,1,1,"New","on a huge spring ? to this rock","okay",NA,"?","1-1-1-New"
1,1,1,"New","and it’s like a belt around the rock and everything",NA,"like, and everything",NA,"1-1-1-New"
1,1,1,"New","and he puts on this clip",NA,NA,NA,"1-1-1-New"
1,1,1,"New","and he’s like alright I’m gonna punch the roadrunner as he runs by",NA,"like",NA,"1-1-1-New"
1,1,1,"New","as he runs by",NA,NA,NA,"1-1-1-New"
1,1,1,"New","he lets go of the clip",NA,NA,NA,"1-1-1-New"
1,1,1,"New","and the whole rock flies back",NA,NA,NA,"1-1-1-New"
1,1,1,"New","smashes him into the wall",NA,NA,NA,"1-1-1-New"
1,1,1,"New","and the boxing glove comes back and hits him in the face","oh",NA,NA,"1-1-1-New"
1,1,1,"New","and then he’s thinking of a new plan",NA,NA,NA,"1-1-1-New"
1,1,1,"New","so you see blueprint of him",NA,NA,NA,"1-1-1-New"
1,1,1,"New","and he’s got a um",NA,NA,NA,"1-1-1-New"
1,1,1,"New","like a tight tightrope I guess ? like like a tight wire ?",NA,"like, I guess, like, like","?, ?","1-1-1-New"
