Triad,Narration,Listener,OldOrNew,Transcript,Audience,Hedges,Rising Intonation,,,,,,,,,,
1,1,1,New,it’s a uh a roadrunner and coyote cartoon,okay,,,,,,,,,,,,
1,1,1,New,you’ve seen that before right?,yeah,,,,,,,,,,,,
1,1,1,New,okay,,,,,,,,,,,,,
1,1,1,New,so it starts off and the coyote’s got a fork and a knife ,,,,,,,,,,,,,
1,1,1,New,and he’s chasinn’ the roadrunner,,,,,,,,,,,,,
1,1,1,New,and then they stop on each of them,,,,,,,,,,,,,
1,1,1,New,and they give them like the Latin names underneath,,like,,,,,,,,,,,
1,1,1,New,it’s like acc acceleritis you know maximus,,"like, you know",,,,,,,,,,,
1,1,1,New,and carnivorus vulgaris ? is the coyote,,,?,,,,,,,,,,
1,1,1,New, and he misses him with the fork and the knife,,,,,,,,,,,,,
1,1,1,New,and gets stuck on the ground,okay ,,,,,,,,,,,,
1,1,1,New,and uh so he sits there and he’s trying to think of a plan,,,,,,,,,,,,,
1,1,1,New,you know to get the roadrunner back,,you know,,,,,,,,,,,
1,1,1,New,and he ends up tying a boxing glove,,,,,,,,,,,,,
1,1,1,New,on a huge spring ? to this rock,okay,,?,,,,,,,,,,
1,1,1,New,and it’s like a belt around the rock and everything,,"like, and everything",,,,,,,,,,,
1,1,1,New,and he puts on this clip,,,,,,,,,,,,,
1,1,1,New,and he’s like alright I’m gonna punch the roadrunner as he runs by,,like,,,,,,,,,,,
1,1,1,New,as he runs by,,,,,,,,,,,,,
1,1,1,New,he lets go of the clip,,,,,,,,,,,,,
1,1,1,New,and the whole rock flies back,,,,,,,,,,,,,
1,1,1,New,smashes him into the wall ,,,,,,,,,,,,,
1,1,1,New,and the boxing glove comes back and hits him in the face ,oh,,,,,,,,,,,,
1,1,1,New,and then he’s thinking of a new plan,,,,,,,,,,,,,
1,1,1,New,so you see blueprint of him,,,,,,,,,,,,,
1,1,1,New,and he’s got a um,,,,,,,,,,,,,
1,1,1,New,like a tight tightrope I guess ? like like a tight wire ? ,,"like, I guess, like, like","?, ?",,,,,,,,,,
