Triad,Narration,Listener,OldOrNew,Transcript,Audience,Hedges,Rising Intonation,,,,,,,,,,,,
1,2,2,New,okay so the cartoon starts out with uh,,,,,,,,,,,,,,,
1,2,2,New,the coyote chasing the roadrunner,,,,,,,,,,,,,,,
1,2,2,New,it’s a coyote and roadrunner cartoon ,okay,,,,,,,,,,,,,,
1,2,2,New,and the coyote is chasing with a fork and a knife,,,,,,,,,,,,,,,
1,2,2,New,and they they slow it down ? and then like they stop,,like,?,,,,,,,,,,,,
1,2,2,New,and they give them the Latin names underneath ?,,,?,,,,,,,,,,,,
1,2,2,New,and he’s got like acceleritis maximus,,like,,,,,,,,,,,,,
1,2,2,New,and then the coyote’s got carnivorus vulgaris or something,,or something,,,,,,,,,,,,,
1,2,2,New,you know like they they give them like those names ,,"you know, like, like",,,,,,,,,,,,,
1,2,2,New,and um he goes after him with the fork and knife,,,,,,,,,,,,,,,
1,2,2,New,and they get stuck in the ground,,,,,,,,,,,,,,,
1,2,2,New,and he’s sitting there and he’s trying to think of a new plan ,,,,,,,,,,,,,,,
1,2,2,New,‘cause that one didn’t work ,,,,,,,,,,,,,,,
1,2,2,New,so um he he takes a big rock,,,,,,,,,,,,,,,
1,2,2,New,and he ties a boxing glove to it attached to a spring?,,,?,,,,,,,,,,,,
1,2,2,New,and there’s a big like metal band around the uh the big rock,,like,,,,,,,,,,,,,
1,2,2,New,so that when the roadrunner comes by,,,,,,,,,,,,,,,
1,2,2,New,he’s gonna punch him with the boxing glove then he,,,,,,,,,,,,,,,
1,2,2,New,so he pushes it all the way in,,,,,,,,,,,,,,,
1,2,2,New,he ties it with a clip ,,,,,,,,,,,,,,,
1,2,2,New,as the roadrunner comes by,,,,,,,,,,,,,,,
1,2,2,New,he lets the clip go,,,,,,,,,,,,,,,
1,2,2,New,and the rock comes back,,,,,,,,,,,,,,,
1,2,2,New,and hits him knocks him into the cliff in the you know in the back,,you know,,,,,,,,,,,,,
1,2,2,New,and the pun uh boxing glove comes back and hits him in the face ,,,,,,,,,,,,,,,
1,2,2,New,um ,,,,,,,,,,,,,,,
1,2,2,New,so he tries to think of a new plan and he gets out a blueprint with,,,,,,,,,,,,,,,
1,2,2,New,showing him ? and like an anvil ? and like there’s a,,"like, like","?, ?",,,,,,,,,,,,
1,2,2,New, uh a tightrope that goes across two cliffs ? and a road underneath ? ,,,"?, ?",,,,,,,,,,,,
1,2,2,New,and he’s gonna drop an anvil from this tightrope on the roadrunner,,,,,,,,,,,,,,,
1,2,2,New,as he comes underneath ,,,,,,,,,,,,,,,
1,2,2,New,so he picks up the anvil,,,,,,,,,,,,,,,
1,2,2,New,which is real heavy and everything,,and everything,,,,,,,,,,,,,
1,2,2,New,and steps on the tightrope,,,,,,,,,,,,,,,
1,2,2,New,and the tightrope stretches all the way down to the ground,,,,,,,,,,,,,,,
1,2,2,New,so he’s just standing there on the ground with the anvil ,,just,,,,,,,,,,,,,
1,2,2,New,the roadrunner comes up,,,,,,,,,,,,,,,
1,2,2,New,and like you know puts his tongue out and like beeps in his face ,,"like, you know, like",,,,,,,,,,,,,
1,2,2,New,and um the coyote like throws the anvil ? down the ground,,like,?,,,,,,,,,,,,
1,2,2,New,because he gets all mad ?,,,?,,,,,,,,,,,,
1,2,2,New,and he gets shot up into the air like a like a bow ’n arrow ? ,,"like, like",?,,,,,,,,,,,,
1,2,2,New,and um he he’s got like a good look on his face,,like,,,,,,,,,,,,,
1,2,2,New,‘cause he’s got a backpack on,,,,,,,,,,,,,,,
1,2,2,New,so he’s like oh I’ll be fine I got a parachute,,like,,,,,,,,,,,,,
1,2,2,New,so he pulls the string,,,,,,,,,,,,,,,
1,2,2,New,and all this stuff comes flying out of his backpack,,,,,,,,,,,,,,,
1,2,2,New,like apples and you know whatever,,"like, you know, whatever",,,,,,,,,,,,,
1,2,2,New,and he he grabs something that comes out of the bag ,,,,,,,,,,,,,,,
1,2,2,New,and it was a bottle of aspirin ?,,,?,,,,,,,,,,,,
1,2,2,New,and he took a whole bunch of aspirin,,,,,,,,,,,,,,,
1,2,2,New,and just goes like you know ,,"just, like, you know",,,,,,,,,,,,,
1,2,2,New,and falls to the ground ,,,,,,,,,,,,,,,
1,2,2,New,and then um ,,,,,,,,,,,,,,,
1,2,2,New,last thing you see is uh,,,,,,,,,,,,,,,
1,2,2,New,they’re chasing each other again,,,,,,,,,,,,,,,
1,2,2,New,and they run into a uh,,,,,,,,,,,,,,,
1,2,2,New,like the old cactus mine shaft ?,,like,?,,,,,,,,,,,,
1,2,2,New,and it’s like an abandoned mine shaft,,like,,,,,,,,,,,,,
1,2,2,New,that they’re chasing each other through,,,,,,,,,,,,,,,
1,2,2,New,and uh the roadrunner’s got a hat on ?,,,?,,,,,,,,,,,,
1,2,2,New,that’s got a uh a green light ?,,,?,,,,,,,,,,,,
1,2,2,New,and the coyote’s got a hat on,,,,,,,,,,,,,,,
1,2,2,New,that’s got a red light?,,,?,,,,,,,,,,,,
1,2,2,New,so they like go to a cut scene,,like,,,,,,,,,,,,,
1,2,2,New,where you see the whole maze and everything,,,,,,,,,,,,,,,
1,2,2,New,and you see the two lights chasing each other through ,,,,,,,,,,,,,,,
1,2,2,New,and eventually the roadrunner loses the coyote,,,,,,,,,,,,,,,
1,2,2,New,and the coyote bounces all around like the whole thing,,like,,,,,,,,,,,,,
1,2,2,New,and his light goes out ,,,,,,,,,,,,,,,
1,2,2,New,and he lights a match,,,,,,,,,,,,,,,
1,2,2,New,and there’s a whole bunch of tnt and dynamite and stuff around him,,and stuff,,,,,,,,,,,,,
1,2,2,New,and it goes to a cut scene where on on the top of the,,,,,,,,,,,,,,,
1,2,2,New,I guess where the mine shaft is,,I guess,,,,,,,,,,,,,
1,2,2,New,there’s a whole bunch of cactuses ? ,,,?,,,,,,,,,,,,
1,2,2,New,and you see them all like blow up and they come back down,,like,,,,,,,,,,,,,
1,2,2,New,and it makes the word YIPE,,,,,,,,,,,,,,,
1,2,2,New,and then the cartoon’s over,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
