Triad,Narration,Listener,OldOrNew,Transcript,Audience,Hedges,Rising Intonation,,,,,,,,,,,,,,
1,3,1,Old,okay,,,,,,,,,,,,,,,,,
1,3,1,Old,so the cartoon starts out,,,,,,,,,,,,,,,,,
1,3,1,Old,and you got the coyote chasing the roadrunner,,,,,,,,,,,,,,,,,
1,3,1,Old,with a fork and a knife,,,,,,,,,,,,,,,,,
1,3,1,Old,and it slows down,,,,,,,,,,,,,,,,,
1,3,1,Old,and it gives them the Latin names underneath ?,,,?,,,,,,,,,,,,,,
1,3,1,Old,you know you got uh,,you know,,,,,,,,,,,,,,,
1,3,1,Old,acceleratis maximus ? for thee uh road runner,,,?,,,,,,,,,,,,,,
1,3,1,Old,and you got carnivorus uh vulgaris  for the coyote ?,,,?,,,,,,,,,,,,,,
1,3,1,Old, um so the coyote swings out at him and misses ?,,,,,,,,,,,,,,,,,
1,3,1,Old,and his fork and knife get stuck in the ground,,,,,,,,,,,,,,,,,
1,3,1,Old,and so he’s trying to think of a new plan,,,,,,,,,,,,,,,,,
1,3,1,Old,and he’s sitting there and ,,,,,,,,,,,,,,,,,
1,3,1,Old,he gets an idea,,,,,,,,,,,,,,,,,
1,3,1,Old,so he ties a huge boxing glove to a attached to a spring,,,,,,,,,,,,,,,,,
1,3,1,Old,on a metal belt around a rock ,okay,,,,,,,,,,,,,,,,
1,3,1,Old,and he puts a clip in it you know,,,,,,,,,,,,,,,,,
1,3,1,Old,and he’s gonna let go of the clip,,,,,,,,,,,,,,,,,
1,3,1,Old,and he’s gonna hit thee the roadrunner as he comes by,,,,,,,,,,,,,,,,,
1,3,1,Old,but when he does,,,,,,,,,,,,,,,,,
1,3,1,Old,the rock comes back and hits him,,,,,,,,,,,,,,,,,
1,3,1,Old,knocks him against the wall ,,,,,,,,,,,,,,,,,
1,3,1,Old,the boxing glove comes and hits him in the face ,okay,,,,,,,,,,,,,,,,
1,3,1,Old,so that plan didn’t work ,,,,,,,,,,,,,,,,,
1,3,1,Old,um ,,,,,,,,,,,,,,,,,
1,3,1,Old,then he has a blueprint you see,okay,,,,,,,,,,,,,,,,
1,3,1,Old,wh where he he shows himself with an anvil ?,,,?,,,,,,,,,,,,,,
1,3,1,Old,and there’s a tightrope attached to two cliffs,,,,,,,,,,,,,,,,,
1,3,1,Old,and there’s a road that runs underneath,mm-hmm,,,,,,,,,,,,,,,,
1,3,1,Old,and he’s gonna drop the anvil from the tightrope on the roadrunner,,,,,,,,,,,,,,,,,
1,3,1,Old,and you know he’s gonna get dinner I guess ,,"you know, I guess",,,,,,,,,,,,,,,
1,3,1,Old,and um when he picks the anvil,,,,,,,,,,,,,,,,,
1,3,1,Old,it’s real heavy,,,,,,,,,,,,,,,,,
1,3,1,Old,so when he steps onto the tightrope,,,,,,,,,,,,,,,,,
1,3,1,Old,it just stretches all the way down to the ground,,just,,,,,,,,,,,,,,,
1,3,1,Old,the roadrunner comes up,,,,,,,,,,,,,,,,,
1,3,1,Old,and he beeps in his face,,,,,,,,,,,,,,,,,
1,3,1,Old,and makes him all angry,,,,,,,,,,,,,,,,,
1,3,1,Old,so he throws the anvil down,,,,,,,,,,,,,,,,,
1,3,1,Old,but it shoots him like a bow ’n arrow up into the sky ,okay,,,,,,,,,,,,,,,,
1,3,1,Old,and as he goes up into the sky he doesn’t look worried or anything,,,,,,,,,,,,,,,,,
1,3,1,Old,because he’s got his backpack on,,,,,,,,,,,,,,,,,
1,3,1,Old,that I guess is supposed to be a parachute,okay,I guess,,,,,,,,,,,,,,,
1,3,1,Old, but when he he pulls the l the string,,,,,,,,,,,,,,,,,
1,3,1,Old,like an apple comes out and a sandwich comes out,,like,,,,,,,,,,,,,,,
1,3,1,Old,and he grabs something that comes out,,,,,,,,,,,,,,,,,
1,3,1,Old,there’s a bottle of aspirin,,,,,,,,,,,,,,,,,
