Triad,Narration,Listener,OldOrNew,Transcript,Audience,Hedges,Rising Intonation,,,,,,,,,,,,,,,,,,
12,3,1,Old,well it’s the cartoon of roadrunner and coyote,,,,,,,,,,,,,,,,,,,,,
12,3,1,Old,and they’re chasing each other,,,,,,,,,,,,,,,,,,,,,
12,3,1,Old,and then the road he’s about to like dig the knife and the fork in him,,like,,,,,,,,,,,,,,,,,,,
12,3,1,Old,aand then the roadrunner stops and goes BEEP BEEP,,,,,,,,,,,,,,,,,,,,,
12,3,1,Old,and then he goes in it kind of,,kind of,,,,,,,,,,,,,,,,,,,
12,3,1,Old,and then he starts running away from him ,,,,,,,,,,,,,,,,,,,,,
12,3,1,Old,and then the coyote digs the fork and knife into the ground ,,,,,,,,,,,,,,,,,,,,,
12,3,1,Old,and then he makes a plan putting boxing glove on a spring,,,,,,,,,,,,,,,,,,,,,
12,3,1,Old,and then strapping it to the rock,,,,,,,,,,,,,,,,,,,,,
12,3,1,Old,and then the roadrunner like distracts him with his BEEP BEEP,,like,,,,,,,,,,,,,,,,,,,
12,3,1,Old,and then the rock backfires,,,,,,,,,,,,,,,,,,,,,
12,3,1,Old,and then throws him into the wall,,,,,,,,,,,,,,,,,,,,,
12,3,1,Old,and then ohh the boxing glove comes back,,,,,,,,,,,,,,,,,,,,,
12,3,1,Old,and springs him and hits him in the face,,,,,,,,,,,,,,,,,,,,,
12,3,1,Old,and then he makes a plan of a blueprintof,,,,,,,,,,,,,,,,,,,,,
12,3,1,Old,h he’s a tightrope between two cacliffs,,,,,,,,,,,,,,,,,,,,,
12,3,1,Old,and then he has an anvil ,,,,,,,,,,,,,,,,,,,,,
12,3,1,Old,and he’s gonna throwthe anvil on top of the roadrunner,,,,,,,,,,,,,,,,,,,,,
12,3,1,Old,but while he’swalking the tightrope,,,,,,,,,,,,,,,,,,,,,
12,3,1,Old,in the middle of it he goes doown,,,,,,,,,,,,,,,,,,,,,
12,3,1,Old,he goes down with the weight,,,,,,,,,,,,,,,,,,,,,
12,3,1,Old,and then the roadrunner comes in bothers him by going BEEP BEEP,,,,,,,,,,,,,,,,,,,,,
12,3,1,Old,and then he kinda throws the anvil in the ground frustrated ?,,kinda,?,,,,,,,,,,,,,,,,,,
12,3,1,Old,which makes him shoot up in the air,,,,,,,,,,,,,,,,,,,,,
