Triad,Narration,Listener,OldOrNew,Transcript,Audience,Hedges,Rising Intonation,,,,,,,,,,,,,,,,,,
14,3,2,New,so the cartoon starts out,,,,,,,,,,,,,,,,,,,,,
14,3,2,New,and we see uh roadrunner being chased by wile e. coyote,,,,,,,,,,,,,,,,,,,,,
14,3,2,New,aand we see them like their picture is kinda blurred,,"like, kinda",,,,,,,,,,,,,,,,,,,
14,3,2,New,’cause they’re running really fast,,,,,,,,,,,,,,,,,,,,,
14,3,2,New,so like their colors are blurred and stuff like that,,"like, and stuff like that",,,,,,,,,,,,,,,,,,,
14,3,2,New,aand they’re running really fast,,,,,,,,,,,,,,,,,,,,,
14,3,2,New,and then it freeze frames on the roadrunner,,,,,,,,,,,,,,,,,,,,,
14,3,2,New,and like it shows,,like,,,,,,,,,,,,,,,,,,,
14,3,2,New,it’s a freeze frame and then it shows his name roadrunner,,,,,,,,,,,,,,,,,,,,,
14,3,2,New,and then it shows his name like in latin,,like,,,,,,,,,,,,,,,,,,,
14,3,2,New,like incredibilus something in parentheses,yeah,"like, something",,,,,,,,,,,,,,,,,,,
14,3,2,New,and then it freeze frames on coyote,,,,,,,,,,,,,,,,,,,,,
14,3,2,New,and it shows it’s name coyote,,,,,,,,,,,,,,,,,,,,,
14,3,2,New,and then its name like in latin in parentheses um carnivoris vulgaris,,like,,,,,,,,,,,,,,,,,,,
14,3,2,New,alright ?,,,?,,,,,,,,,,,,,,,,,,
14,3,2,New,and then like it starts going in slow motion like it’s working up the speed,,"like, like",,,,,,,,,,,,,,,,,,,
14,3,2,New,and then,,,,,,,,,,,,,,,,,,,,,
14,3,2,New,oh and in the freeze frame,,,,,,,,,,,,,,,,,,,,,
14,3,2,New,you see coyote with a fork and knife in his hand like this ?,,,?,,,,,,,,,,,,,,,,,,
14,3,2,New,and he has a handkerchief around his neck,,,,,,,,,,,,,,,,,,,,,
14,3,2,New,and so he’s about to he’s about to to stab the roadrunner,,,,,,,,,,,,,,,,,,,,,
14,3,2,New,but the roadrunner goes MEEP MEEP,,,,,,,,,,,,,,,,,,,,,
14,3,2,New,and he’s just darts off,,just,,,,,,,,,,,,,,,,,,,
14,3,2,New,so instead he stabs the ground,,,,,,,,,,,,,,,,,,,,,
14,3,2,New,and he’s on the ground,,,,,,,,,,,,,,,,,,,,,
14,3,2,New,and he’s frustrated,,,,,,,,,,,,,,,,,,,,,
14,3,2,New,and all of a sudden he has an idea and he points up like that ,,,,,,,,,,,,,,,,,,,,,
14,3,2,New,and the next scene it shows,,,,,,,,,,,,,,,,,,,,,
14,3,2,New,it shows like a big rock,,like,,,,,,,,,,,,,,,,,,,
14,3,2,New,and it shows like a big spring attached to the rock,,like,,,,,,,,,,,,,,,,,,,
14,3,2,New,a metal spring,,,,,,,,,,,,,,,,,,,,,
14,3,2,New,and it shows a boxing glove on the end of the spring,,,,,,,,,,,,,,,,,,,,,
14,3,2,New,and he starts to coil up the spring and the boxing glove,,,,,,,,,,,,,,,,,,,,,
14,3,2,New,and he attaches like a latch onto the rock like to hold it in place,,"like, like",,,,,,,,,,,,,,,,,,,
14,3,2,New,and then he stands behind the rock,,,,,,,,,,,,,,,,,,,,,
14,3,2,New,and when he sees the roadrunner coming,,,,,,,,,,,,,,,,,,,,,
14,3,2,New,like he lets go of the latch expecting the boxing glove to go out,,like,,,,,,,,,,,,,,,,,,,
14,3,2,New,but instead the rock goes backwards,,,,,,,,,,,,,,,,,,,,,
14,3,2,New,and smashes him into the wall behind him,,,,,,,,,,,,,,,,,,,,,
14,3,2,New,and then you know he’s like st standing there,,"you know, like",,,,,,,,,,,,,,,,,,,
14,3,2,New,and he’s stunned ’cause he got smashed,,,,,,,,,,,,,,,,,,,,,
14,3,2,New,and then the boxing gloves comes backwards,,,,,,,,,,,,,,,,,,,,,
14,3,2,New,and smashes him in the face,,,,,,,,,,,,,,,,,,,,,
14,3,2,New,and so the next scene it shows like a blueprint ?,,like,?,,,,,,,,,,,,,,,,,,
14,3,2,New,and it shows like a drawing he has,,like,,,,,,,,,,,,,,,,,,,
14,3,2,New,and shows like uh two cliffs attached by um a wire ?,,like,?,,,,,,,,,,,,,,,,,,
14,3,2,New,aand it shows like his plans written on the side,,like,,,,,,,,,,,,,,,,,,,
14,3,2,New,like it says uh,,like,,,,,,,,,,,,,,,,,,,
14,3,2,New,walk across wire with anvil,,,,,,,,,,,,,,,,,,,,,
14,3,2,New,drop anvil on the roadrunner,,,,,,,,,,,,,,,,,,,,,
14,3,2,New,and then roadrunner burger,,,,,,,,,,,,,,,,,,,,,
14,3,2,New,okay so,,,,,,,,,,,,,,,,,,,,,
14,3,2,New,he takes the anvil and he starts to walk across,,,,,,,,,,,,,,,,,,,,,
14,3,2,New,but the the wire  the wire starts to like fall down to the ground,,like,,,,,,,,,,,,,,,,,,,
14,3,2,New,so he’s standing on the ground now with the wire underneath,,,,,,,,,,,,,,,,,,,,,
14,3,2,New,and holding the anvil,,,,,,,,,,,,,,,,,,,,,
14,3,2,New,and then the roadrunner comes up and goes MEEP MEEP ,,,,,,,,,,,,,,,,,,,,,
14,3,2,New,and then runs away,,,,,,,,,,,,,,,,,,,,,
14,3,2,New,and so he throws the anvil to the side,,,,,,,,,,,,,,,,,,,,,
14,3,2,New,thinking he is gonna go after the roadrunner,,,,,,,,,,,,,,,,,,,,,
14,3,2,New,but when he throws the anvil like he gets launched into the sky,,like,,,,,,,,,,,,,,,,,,,
14,3,2,New,alright ?,,,?,,,,,,,,,,,,,,,,,,
