Triad,Narration,Listener,OldOrNew,Transcript,Audience,Hedges,Rising Intonation,,,,,,,,,,,,,,,,,,
21,3,1,Old,okay so it starts off,,,,,,,,,,,,,,,,,,,,,
21,3,1,Old,roadrunner wile e. coyote,,,,,,,,,,,,,,,,,,,,,
21,3,1,Old,um coyote’s chasing the roadrunner ?,,,?,,,,,,,,,,,,,,,,,,
21,3,1,Old,um they pause,,,,,,,,,,,,,,,,,,,,,
21,3,1,Old,and uh roadrunner is in midair kind of running,,kind of,,,,,,,,,,,,,,,,,,,
21,3,1,Old,and it says roadrunner and his scientific name,,,,,,,,,,,,,,,,,,,,,
21,3,1,Old,then they go back,,,,,,,,,,,,,,,,,,,,,
21,3,1,Old,and they show coyote and his scien,,,,,,,,,,,,,,,,,,,,,
21,3,1,Old,carnivorous something,fork and knife ,something,,,,,,,,,,,,,,,,,,,
21,3,1,Old,and underneath his name,,,,,,,,,,,,,,,,,,,,,
21,3,1,Old,yeah with his knife and fork,,,,,,,,,,,,,,,,,,,,,
21,3,1,Old,right ,,,,,,,,,,,,,,,,,,,,,
21,3,1,Old,and um then they start up again,,,,,,,,,,,,,,,,,,,,,
21,3,1,Old,roadrunner’s running,,,,,,,,,,,,,,,,,,,,,
21,3,1,Old,and coyote thinks he’s got him,,,,,,,,,,,,,,,,,,,,,
21,3,1,Old,so he goes to stab him with his knife and fork,,,,,,,,,,,,,,,,,,,,,
21,3,1,Old,and gets like a burst of acceleration,,like,,,,,,,,,,,,,,,,,,,
21,3,1,Old,and he runs off,,,,,,,,,,,,,,,,,,,,,
21,3,1,Old,and um he stabs him,,,,,,,,,,,,,,,,,,,,,
21,3,1,Old,goes to stab him,,,,,,,,,,,,,,,,,,,,,
21,3,1,Old,but he ends up stabbing the road underneath him,,,,,,,,,,,,,,,,,,,,,
21,3,1,Old,and his feet are sticking up in the air,,,,,,,,,,,,,,,,,,,,,
21,3,1,Old,so he’s a little frustrated,,,,,,,,,,,,,,,,,,,,,
21,3,1,Old,and now he’s sitting there thinking,,,,,,,,,,,,,,,,,,,,,
21,3,1,Old,and he comes up with a plan,,,,,,,,,,,,,,,,,,,,,
21,3,1,Old,so he gives a thumbs up,,,,,,,,,,,,,,,,,,,,,
21,3,1,Old,and then he’s got this contraption,,,,,,,,,,,,,,,,,,,,,
21,3,1,Old,with a big boulder,,,,,,,,,,,,,,,,,,,,,
21,3,1,Old,with a like a boxing glove fist thing attached to it,,"like, thing",,,,,,,,,,,,,,,,,,,
21,3,1,Old,on a spring,,,,,,,,,,,,,,,,,,,,,
21,3,1,Old,and he pulls the spring back,,,,,,,,,,,,,,,,,,,,,
21,3,1,Old,ties it up,,,,,,,,,,,,,,,,,,,,,
21,3,1,Old,so when the roadrunner comes by,,,,,,,,,,,,,,,,,,,,,
21,3,1,Old,he'll let it go,,,,,,,,,,,,,,,,,,,,,
21,3,1,Old,and it’ll punch him,,,,,,,,,,,,,,,,,,,,,
21,3,1,Old,so roadrunner comes by,,,,,,,,,,,,,,,,,,,,,
21,3,1,Old,pulls the string,,,,,,,,,,,,,,,,,,,,,
21,3,1,Old,but the glove stays in place,,,,,,,,,,,,,,,,,,,,,
21,3,1,Old,and the boulder hits him,,,,,,,,,,,,,,,,,,,,,
21,3,1,Old,pushes him back into a bould another boulder,,,,,,,,,,,,,,,,,,,,,
21,3,1,Old,and then the glove comes back,,,,,,,,,,,,,,,,,,,,,
21,3,1,Old,and punches him in the head,,,,,,,,,,,,,,,,,,,,,
21,3,1,Old,and so that didn't work,,,,,,,,,,,,,,,,,,,,,
21,3,1,Old,so now he has a blueprint for a new plan,,,,,,,,,,,,,,,,,,,,,
21,3,1,Old,there’s two cliffs,,,,,,,,,,,,,,,,,,,,,
21,3,1,Old,uh a tightrope in the middle,,,,,,,,,,,,,,,,,,,,,
21,3,1,Old,and he’s gonna walk out on the tightrope with an anvil,,,,,,,,,,,,,,,,,,,,,
21,3,1,Old,so it’s got,,,,,,,,,,,,,,,,,,,,,
21,3,1,Old,step one walk out onto the rope,,,,,,,,,,,,,,,,,,,,,
21,3,1,Old,step twoo drop the anvil,,,,,,,,,,,,,,,,,,,,,
21,3,1,Old,step three roadrunner burger,,,,,,,,,,,,,,,,,,,,,
21,3,1,Old,or something like that,,or something like that,,,,,,,,,,,,,,,,,,,
21,3,1,Old,so um he tries this,,,,,,,,,,,,,,,,,,,,,
21,3,1,Old,he you know,,you know,,,,,,,,,,,,,,,,,,,
21,3,1,Old,he throws his blueprint aside,,,,,,,,,,,,,,,,,,,,,
21,3,1,Old,he takes his anvil,,,,,,,,,,,,,,,,,,,,,
21,3,1,Old,and he walks out onto the rope,,,,,,,,,,,,,,,,,,,,,
21,3,1,Old,and he uh goes to,,,,,,,,,,,,,,,,,,,,,
21,3,1,Old,well he gets out to the middle of the rope,,,,,,,,,,,,,,,,,,,,,
21,3,1,Old,but it’s too heavy,,,,,,,,,,,,,,,,,,,,,
21,3,1,Old,so it weighs him down,,,,,,,,,,,,,,,,,,,,,
21,3,1,Old,and now he’s standing on the ground,,,,,,,,,,,,,,,,,,,,,
21,3,1,Old,holding his anvil,,,,,,,,,,,,,,,,,,,,,
21,3,1,Old,roadrunner runs up to him,,,,,,,,,,,,,,,,,,,,,
21,3,1,Old,sees him,,,,,,,,,,,,,,,,,,,,,
21,3,1,Old,and runs back in the other direction,,,,,,,,,,,,,,,,,,,,,
21,3,1,Old,and so he throws his anvil aside,,,,,,,,,,,,,,,,,,,,,
21,3,1,Old,but now the rope is not weighed down anymore,,,,,,,,,,,,,,,,,,,,,
21,3,1,Old,so he goes flying up into the air,,,,,,,,,,,,,,,,,,,,,
21,3,1,Old,he’s got his backpack,,,,,,,,,,,,,,,,,,,,,
21,3,1,Old,um as he’s falling,,,,,,,,,,,,,,,,,,,,,
21,3,1,Old,he’s reaching for stuff,,,,,,,,,,,,,,,,,,,,,
21,3,1,Old,and he pulls a string for the parachute,,,,,,,,,,,,,,,,,,,,,
21,3,1,Old,but it’s just his backpack opens,,just,,,,,,,,,,,,,,,,,,,
21,3,1,Old,and it’s all stuff’s coming out,,all stuff's,,,,,,,,,,,,,,,,,,,
21,3,1,Old,but no parachute,,,,,,,,,,,,,,,,,,,,,
21,3,1,Old,so he takes an aspirin,,,,,,,,,,,,,,,,,,,,,
21,3,1,Old,and kinda waves,,kinda,,,,,,,,,,,,,,,,,,,
21,3,1,Old,and he just falls,,just,,,,,,,,,,,,,,,,,,,
21,3,1,Old,um then you see him again chasing the roadrunner,,,,,,,,,,,,,,,,,,,,,
21,3,1,Old,just chasing after him,,just,,,,,,,,,,,,,,,,,,,
21,3,1,Old,chasing him into a mine,,,,,,,,,,,,,,,,,,,,,
21,3,1,Old,so he starts running into the mine,,,,,,,,,,,,,,,,,,,,,
21,3,1,Old,and it gets too dark,,,,,,,,,,,,,,,,,,,,,
21,3,1,Old,and you just see like his eyeballs,,"just, like",,,,,,,,,,,,,,,,,,,
21,3,1,Old,and um so he runs back to the beginning,,,,,,,,,,,,,,,,,,,,,
21,3,1,Old,of the like the entrance,,like,,,,,,,,,,,,,,,,,,,
21,3,1,Old,and gets one of those hats with like the light on the front,,like,,,,,,,,,,,,,,,,,,,
21,3,1,Old,um and coyote’s behi,,,,,,,,,,,,,,,,,,,,,
21,3,1,Old,um roadrunner’s behind him,,,,,,,,,,,,,,,,,,,,,
21,3,1,Old,and he’s got a hat too,,,,,,,,,,,,,,,,,,,,,
21,3,1,Old,roadrunner has a hat with a green light,,,,,,,,,,,,,,,,,,,,,
21,3,1,Old,coyote has a hat with a red light,,,,,,,,,,,,,,,,,,,,,
21,3,1,Old,so then they run into the mine,,,,,,,,,,,,,,,,,,,,,
21,3,1,Old,and you just see a top view,,,,,,,,,,,,,,,,,,,,,
21,3,1,Old,like a little maze-looking thing,,"like, maze-looking",,,,,,,,,,,,,,,,,,,
21,3,1,Old,with um the green light roadrunner,,,,,,,,,,,,,,,,,,,,,
21,3,1,Old,and the red light coyote,,,,,,,,,,,,,,,,,,,,,
21,3,1,Old,he’s chasing after the uh roadrunner,,,,,,,,,,,,,,,,,,,,,
21,3,1,Old,so they're running and running,,,,,,,,,,,,,,,,,,,,,
21,3,1,Old,chasing around and around,,,,,,,,,,,,,,,,,,,,,
21,3,1,Old,and around and around,,,,,,,,,,,,,,,,,,,,,
21,3,1,Old,and um all of a sudden,,,,,,,,,,,,,,,,,,,,,
21,3,1,Old,the uh roadrunner is kinda gone,,kinda,,,,,,,,,,,,,,,,,,,
21,3,1,Old,and coyote’s light goes out on his hat,,,,,,,,,,,,,,,,,,,,,
21,3,1,Old,so he can't see,,,,,,,,,,,,,,,,,,,,,
21,3,1,Old,he lights a match,,,,,,,,,,,,,,,,,,,,,
21,3,1,Old,looks around sees TNT,,,,,,,,,,,,,,,,,,,,,
21,3,1,Old,um they go up,,,,,,,,,,,,,,,,,,,,,
21,3,1,Old,and they show you the view,,,,,,,,,,,,,,,,,,,,,
21,3,1,Old,of you know like the ground above him,,"you know, like",,,,,,,,,,,,,,,,,,,
21,3,1,Old,of the desert,,,,,,,,,,,,,,,,,,,,,
21,3,1,Old,and there’s cactuses,,,,,,,,,,,,,,,,,,,,,
21,3,1,Old,and you hear an explosion,,,,,,,,,,,,,,,,,,,,,
21,3,1,Old,and it says,,,,,,,,,,,,,,,,,,,,,
21,3,1,Old,um thee cactuses say YIKES,,,,,,,,,,,,,,,,,,,,,
21,3,1,Old,like the shape of the cactuses kinda blows up,,"like, kinda",,,,,,,,,,,,,,,,,,,
21,3,1,Old,and then they say YIKES,,,,,,,,,,,,,,,,,,,,,
