Triad,Narration,Listener,OldOrNew,Transcript,Audience,Hedges,Rising Intonation,,,,,,
3,1,1,New,it was a roadrunner and coyote cartoon ? ,,,?,,,,,,
3,1,1,New,and it starts off with them running and chasing each other,,,,,,,,,
3,1,1,New,then it slows to slow motion,,,,,,,,,
3,1,1,New,and you see the roadrunner ,,,,,,,,,
3,1,1,New,and then you see the coyote running after him,,,,,,,,,
3,1,1,New,with a a knife and fork in his hand,,,,,,,,,
3,1,1,New,and a and a bib around his neck,,,,,,,,,
3,1,1,New,and then it starts and it keeps going in slow motion,,,,,,,,,
3,1,1,New,and it starts off again,,,,,,,,,
3,1,1,New,where you see nothing but a cloud of color running,,,,,,,,,
3,1,1,New,which would be the roadrunner,,,,,,,,,
3,1,1,New,and then he tries to catch up with him,,,,,,,,,
3,1,1,New,and then next thing you know the roadrunner just ran,,just,,,,,,,
3,1,1,New,he’s already out of where the coyote’s from,,,,,,,,,
3,1,1,New,so then he decide the coy,,,,,,,,,
3,1,1,New,the coyote decides that uh he should set up some k,,,,,,,,,
3,1,1,New,type of contraption to get the roadrunner,,,,,,,,,
3,1,1,New,and he sets up this  uh,,,,,,,,,
3,1,1,New,this metal contraption,,,,,,,,,
3,1,1,New,with a boxing glove at the end,,,,,,,,,
3,1,1,New,with a spring ?,,,?,,,,,,
3,1,1,New,that’s supposed to spring out ,,,,,,,,,
3,1,1,New,over a rock,,,,,,,,,
3,1,1,New,and he just had to pull a string to let it go ,,,,,,,,,
3,1,1,New,so he’s sitting behind the rock and he does this,,,,,,,,,
3,1,1,New,and then instead of it um going to uh punch the roadrunner,,,,,,,,,
3,1,1,New,it backfires and ,,,,,,,,,
3,1,1,New,catapults him into another rock ? another rock hits him ? ,,,"?, ?",,,,,,
3,1,1,New,and then at the very end,,,,,,,,,
3,1,1,New,and the the punching glove,,,,,,,,,
3,1,1,New,I guess the boxing glove comes back and hits him in the face ,,I guess,,,,,,,
3,1,1,New,then he uh I he got blueprints from like acme,,like,,,,,,,
3,1,1,New,and um he tries walking across a really thin rope,,,,,,,,,
