Triad,Narration,Listener,OldOrNew,Transcript,Audience,Hedges,Rising Intonation,,,,,,,,
3,2,1,Old,alright so it starts off with um,,,,,,,,,,,
3,2,1,Old,the coyote and the roadrunner running,,,,,,,,,,,
3,2,1,Old,and um you see a cloud of smoke,,,,,,,,,,,
3,2,1,Old,and then it comes to slow motion ?,,,?,,,,,,,,
3,2,1,Old,and you see the roadrunner ,,,,,,,,,,,
3,2,1,Old,and you see the coyote behind him chasing him,,,,,,,,,,,
3,2,1,Old,with a knife and a fork and a bib around his neck ?,,,?,,,,,,,,
3,2,1,Old,and it’s it he starts off in slow motion again,,,,,,,,,,,
3,2,1,Old,and then it eventually catches up to speed,,,,,,,,,,,
3,2,1,Old,and then the roadrunner ,,,,,,,,,,,
3,2,1,Old,catches up and he runs from coyote,,,,,,,,,,,
3,2,1,Old,and he’s started,,,,,,,,,,,
3,2,1,Old,and he’s started thinking about how to catch him,,,,,,,,,,,
3,2,1,Old,and he uses this contraption ,,,,,,,,,,,
3,2,1,Old,uh this metal thing he puts around a rock,,,,,,,,,,,
3,2,1,Old,and with a boxing glove on a spring,,,,,,,,,,,
3,2,1,Old,and he’s just got to pull a string that will,,,,,,,,,,,
3,2,1,Old,that will launch the boxing glove ,,,,,,,,,,,
3,2,1,Old,instead of um,,,,,,,,,,,
3,2,1,Old,when the roadrunner runs,,,,,,,,,,,
3,2,1,Old,instead of it working to his advantage it backfired,,,,,,,,,,,
3,2,1,Old,and the rock ends up um catapulting him into another rock,,,,,,,,,,,
3,2,1,Old,and then the boxing glove eventually comes back,,,,,,,,,,,
3,2,1,Old,a few minutes uh a few seconds later,,,,,,,,,,,
3,2,1,Old,and hits him in the face ,,,,,,,,,,,
3,2,1,Old,and then uh then he um he gets uh blue,,,,,,,,,,,
3,2,1,Old,he’s looking at blueprints for another acme contraption that he has,,,,,,,,,,,
3,2,1,Old,and he ends up trying to walk across a really thin rope,,,,,,,,,,,
