Triad,Narration,Listener,OldOrNew,Transcript,Audience,Hedges,Rising Intonation
4,1,1,New,alright so this was aa uh roadrunner and wile e. coyote cartoon,that’s my favorite,,
4,1,1,New,oh yeah,,,
4,1,1,New,so you know it starts with them flying down a road,,you know,
4,1,1,New,and it stops with you know road runner,,you know,
4,1,1,New,and then their their made up Latin names,,,
4,1,1,New,like acceleris increbilus I think was his,,"like, I think",
4,1,1,New,and then wile e. coyote carnivoruss blathuthuthuthuthu ,,,
4,1,1,New,and then they start up going you know slowly and slower and slower,,you know,
4,1,1,New,and just take off ,,just,
4,1,1,New,and uh wile e. coyote stabs at the ground trying to get roadrunner,,,
4,1,1,New,and he just takes off as he disappears,,just,
4,1,1,New,and he just stabs the ground,,just,
4,1,1,New,he’s mad ,,,
4,1,1,New,so what’s he trying to do now? ,,,?
4,1,1,New,oh he decides to uh get a boxing glove and a spring?,,,?
4,1,1,New,and he puts it on a rock,,,
4,1,1,New,and he hides behind a cliff,,,
4,1,1,New,and he pushes the spring back,,,
4,1,1,New,and clips it to the rock,,,
4,1,1,New,so that when the roadrunner goes by he’ll let go of the uh thing,,thing,
4,1,1,New,and the punging glove will swing out and hit him ,,,
4,1,1,New,so he hand hides behind the rock,,,
4,1,1,New,waits to hear him coming,,,
4,1,1,New,hears him coming,,,
4,1,1,New,he lifts up the uh hook?,,,?
4,1,1,New,and the rock flies back,,,
4,1,1,New,instead of the uh punching glove going forward,,,
4,1,1,New,it hits him into the side of a wall he goes out the way it looks,,,
4,1,1,New,and the punching glove is flying back and hits him in the face,,,
4,1,1,New,didn’t work at all ,,,
4,1,1,New,so the next one he decides to do,,,
4,1,1,New,he puts a tightrope between two cliffs ,,,
4,1,1,New,and he walks up between the two with an anvil,,,
4,1,1,New,and he decides that he’ll drop it on the road runner when he comes by,,,
4,1,1,New,but when he walks on the tightrope,,,
4,1,1,New,it stretches right down to the ground,,,
4,1,1,New,you know he’s standing on the ground with the anvil ,,you know,
4,1,1,New,the roadrunner runs up to him,,,
4,1,1,New,does his little BEEP BEEP thing,,,
4,1,1,New,runs away,,,
4,1,1,New,the coyote gets pissed,,,
4,1,1,New,so he throws the anvil on the ground,,,
4,1,1,New,shoots up in the air ,,,
4,1,1,New,now he’s up in the air but he’s looking confident,,,
4,1,1,New,you see him turn to the side and this time he’s got a parachute,,,
4,1,1,New,so he pulls the parachute cord,,,
4,1,1,New,and of course just random crap comes out,,"just, random crap",
4,1,1,New,like a you know a plate and an axe and whatnot,,"like, youknow, and whatnot",
4,1,1,New,so he ta takes out his uh aspirin,,,
4,1,1,New,it opens it up,,,
4,1,1,New,and all the aspirin flies in the air,,,
4,1,1,New,but he gets some he eats it,,,
4,1,1,New,waves goodbye to the camera,,,
4,1,1,New,as he flies down and hits the ground ,,,
4,1,1,New,and this time the roadrunner runs into aa cave,,,
4,1,1,New,like the old cactus mine,mm-hmm,like,
4,1,1,New,so coyote follows after him,,,
4,1,1,New,runs in it quickly gets dark,,,
4,1,1,New,so he turns around picks up one of the lights,,,
4,1,1,New,one one of the hats with the lights on it at the front,,,
4,1,1,New,and his righ lights are red when he turns it on,,,
4,1,1,New,the roadrunner runs up,,,
4,1,1,New,the roadrunner’s already got a uh hat with a light,,,
4,1,1,New,and his is green,,,
4,1,1,New,so they run off,,,
4,1,1,New,and it pulls back to this more like generic map thing?,,"like, thing",?
4,1,1,New,where it’s just tunnels through a uh brown background?,,just,?
4,1,1,New,and you just see their lights?,,,?
4,1,1,New,and you see a green light and a red light chasing each other ,,,
4,1,1,New,and they’re running around,,,
4,1,1,New,and the green light stops,,,
4,1,1,New,it cuts back to uh where you actually see the coyote,,,
4,1,1,New,and the roadrunner the roadrunner goes down in uh an elevator,,,
4,1,1,New,the coyote gets in the other elevator he chases him down ,,,
4,1,1,New,and they run run run,,,
4,1,1,New,you see roadrunner jump over a little cliff and you see the coyote’s light stop back up a little bit try to make the jump not quite make it,,,
4,1,1,New,he’s holding on to the edge he just barely climbs up ,,,
4,1,1,New,and then he and the roadrunner are running around in a circle,,,
4,1,1,New,like they’re run and they’ll go down a uh ladder,,like,
4,1,1,New,around up a ladder ,mm-hmm,,
4,1,1,New,and they do that ,,,
4,1,1,New,and then the roadrunner stops midway once and runs off the other way,,,
4,1,1,New,and the coyote just keeps going around in a circle,mm-hmm,,
4,1,1,New,till he realizes chases after the roadrunner ,,,
4,1,1,New,and then they’re going in a uh jigsaw ,,,
4,1,1,New,uh not a jigsaw,,,
4,1,1,New,like a saw blade up and down up and down up and down ,mm-hmm,like,
4,1,1,New,and they’re chasing after each other,,,
4,1,1,New,and at the end uh the coyote is a little far behind,,,
4,1,1,New,so the roadrunner goes up,,,
4,1,1,New,the coyote doesn’t see it so he goes down at the end,,,
4,1,1,New,‘cause there’s two different paths,mm-hmm,,
4,1,1,New,but he’s still hitting the ceiling and the ground the ceiling and the ground,,,
4,1,1,New,for being used to running up and down,,,
4,1,1,New,and he stops and his hat is broken so he lights a match ,,,
4,1,1,New,and he’s in a room full of dynamite ,,,
4,1,1,New,it explodes,,,
4,1,1,New,and it cuts to the uh the surface and there’s a bunch of cactuses,,,
4,1,1,New,and when it explodes they sh fly up in the air and fall back down,,,
4,1,1,New,and they all say YIKES,,,
4,1,1,New,and that’s it,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
