Triad,Narration,Listener,OldOrNew,Transcript,Audience,Hedges,Rising Intonation,,,,
4,2,2,New,alright so this is a roadrunner and wile e. coyote cartoon ,,,,,,,
4,2,2,New,so they’re blazing down the road,,,,,,,
4,2,2,New,and it stops  on roadrunner,,,,,,,
4,2,2,New,and it says roadrunner,,,,,,,
4,2,2,New,and then like speed increbulus or something in the bottom,,"like, or something",,,,,
4,2,2,New,something they’re trying to pretend it’s Latin,,,,,,,
4,2,2,New,and it goes up to wile e. coyote,,,,,,,
4,2,2,New,it says under him wile e. coyote,,,,,,,
4,2,2,New,and then some other made up Latin,,,,,,,
4,2,2,New,and then start going slowly again and they take off,,,,,,,
4,2,2,New,and they’re running incredibly fast on the road ,,,,,,,
4,2,2,New,and you see wile e. coyote has a uh fork and a knife in his hands ?,,,?,,,,
4,2,2,New,he makes a lunge trying to stab him down the road runner ?,,,?,,,,
4,2,2,New,the roadrunner just takes off even faster,,,,,,,
4,2,2,New,and just hits the ground ,,just,,,,,
4,2,2,New,so he comes up with a plan,,,,,,,
4,2,2,New,he decides to go take a boxing glove,,,,,,,
4,2,2,New,put a spring in it attach the other end of the spring to a uh rock ,,,,,,,
4,2,2,New,he pulls it back,,,,,,,
4,2,2,New,and hooks it against the rock so it won’t fly out,,,,,,,
4,2,2,New,until he lets go of the hook ,,,,,,,
4,2,2,New,he hides behind the rock,,,,,,,
4,2,2,New,he’s gonna wait for the roadrunner to come by ,,,,,,,
4,2,2,New,and he’ll pull the hook,,,,,,,
4,2,2,New,the boxing glove will fly out,,,,,,,
4,2,2,New,and hit the roadrunner,,,,,,,
4,2,2,New,so he’s hiding behind the rock,,,,,,,
4,2,2,New,and you hear the roadrunner coming,,,,,,,
4,2,2,New,and you hear him going BEEP BEEP,,,,,,,
4,2,2,New,and you hear the wind tearing by him ,,,,,,,
4,2,2,New,so he lets go of the hook at the right moment,,,,,,,
4,2,2,New,but instead of the boxing glove shooting forward the rock shoots back,,,,,,,
4,2,2,New,and flies him into a wall so now he’s smashed against the wall,,,,,,,
4,2,2,New,and then you see him look panicked ,,,,,,,
4,2,2,New,‘cause the boxing glove flies back now,,,,,,,
4,2,2,New,and hits him in the face ,,,,,,,
4,2,2,New,so he comes up with a different plan this time,,,,,,,
4,2,2,New,he decides he’s gonna put a tightrope between two cliffs,,,,,,,
4,2,2,New,he’s gonna walk between them with a huge anvil in his hands,,,,,,,
4,2,2,New,and he’ll drop it on the roadrunner when the roadrunner walks by,,,,,,,
4,2,2,New,you see his blueprints and everything’s great ,,,,,,,
4,2,2,New,so he walks on the tightrope with the anvil,,,,,,,
4,2,2,New,but the anv but the tightrope stretches down ,,,,,,,
4,2,2,New,and now he’s on the ground on the tightrope with an anvil in his hands,,,,,,,
4,2,2,New,so he can’t drop it on anything ,,,,,,,
4,2,2,New,the roadrunner comes up,,,,,,,
4,2,2,New,does his little BEEP BEEP,,,,,,,
4,2,2,New,flies away ,,,,,,,
4,2,2,New,so the wil,,,,,,,
4,2,2,New,so the coyote throws the anvil on the ground and goes chasing after him ,,,,,,,
4,2,2,New,but when he throws the anvil on the ground,,,,,,,
4,2,2,New,the tightrope goes back to how it was shoots him up in the air ,,,,,,,
4,2,2,New,but he looks kind of confident now,,kind of,,,,,
4,2,2,New,and the camera pans to the side and you see that he’s got a parachute on ,,,,,,,
4,2,2,New,so he pulls the rope of the parachute when he starts going down ,,,,,,,
4,2,2,New,but instead of a parachute coming out random crap comes out,,random crap,,,,,
4,2,2,New,like an axe and a plate and a bowl and a spoon and a banana,,,,,,,
4,2,2,New,you know whatnot not a parachute ,,"you know, whatnot",,,,,
4,2,2,New,so he’s flying down,,,,,,,
4,2,2,New,he looks panicked,,,,,,,
4,2,2,New,so he takes his acme uh aspirin,,,,,,,
4,2,2,New,opens it up and,,,,,,,
4,2,2,New,grabs a few out of the air,,,,,,,
4,2,2,New,‘cause you know they’re all flying straight up,,you know,,,,,
4,2,2,New,and then he just waves goodbye to the camera,,just,,,,,
4,2,2,New,as he flies down,,,,,,,
4,2,2,New,and hits the ground,,,,,,,
4,2,2,New,and there’s a little mushroom cloud ,,,,,,,
4,2,2,New,and so this time thee roadrunner go,,,,,,,
4,2,2,New,runs into the uh old cactus mine or something ,,,,,,,
4,2,2,New,and wile e. coyote chases after him,,,,,,,
4,2,2,New,and he’s running after him through the mine and it gets pitch black,,,,,,,
4,2,2,New,so he runs back to the beginning and he grabs one of those little hats,,,,,,,
4,2,2,New,like those mining hats with the lights on,,like,,,,,
