Triad,Narration,Listener,OldOrNew,Transcript,Audience,Hedges,Rising Intonation,,,,,,,,,,,,,,,,,
4,3,1,Old,alright so it’s a wile e. coyote and roadrunner cartoon,,,,,,,,,,,,,,,,,,,,
4,3,1,Old,you see them flying down the road,,,,,,,,,,,,,,,,,,,,
4,3,1,Old,and it stops,,,,,,,,,,,,,,,,,,,,
4,3,1,Old,it says road runner and something in their little made up Latin,,and something,,,,,,,,,,,,,,,,,,
4,3,1,Old,like speediculis incrediblis,mm-hmm,like,,,,,,,,,,,,,,,,,,
4,3,1,Old,and then goes wile e. coyote and something else made up in Latin,mm-hmm,and something,,,,,,,,,,,,,,,,,,
4,3,1,Old,and they slowly speed back up again,,,,,,,,,,,,,,,,,,,,
4,3,1,Old,so they’re running at the speed they were ,,,,,,,,,,,,,,,,,,,,
4,3,1,Old,and then coyote goes to dive on him,,,,,,,,,,,,,,,,,,,,
4,3,1,Old,with the fork and knife that he has in his hands ,,,,,,,,,,,,,,,,,,,,
4,3,1,Old,but the roadrunner just takes off,,,,,,,,,,,,,,,,,,,,
4,3,1,Old,and he just hits the ground,,,,,,,,,,,,,,,,,,,,
4,3,1,Old,so he decides to come up with a plan ,,,,,,,,,,,,,,,,,,,,
4,3,1,Old,he’ll take a boxing glove,,,,,,,,,,,,,,,,,,,,
4,3,1,Old,put a spring in it put the other end of the spring on a rock,,,,,,,,,,,,,,,,,,,,
4,3,1,Old,pulls the boxing glove back against the rock,,,,,,,,,,,,,,,,,,,,
4,3,1,Old,and clips it to the rock,,,,,,,,,,,,,,,,,,,,
4,3,1,Old,so it won’t fly out till he’s ready,,,,,,,,,,,,,,,,,,,,
4,3,1,Old,and stands behind the rock,,,,,,,,,,,,,,,,,,,,
4,3,1,Old,waits to hear the roadrunner coming,,,,,,,,,,,,,,,,,,,,
4,3,1,Old,lets go of the clip so it will fly out ,,,,,,,,,,,,,,,,,,,,
4,3,1,Old,the boxing glove stays where it is and the rock shoots back ,,,,,,,,,,,,,,,,,,,,
4,3,1,Old,shoots him against the wall so he’s pushed between the wall and the rock,,,,,,,,,,,,,,,,,,,,
4,3,1,Old,then he looks all panicked,,,,,,,,,,,,,,,,,,,,
4,3,1,Old,because you see the boxing glove is flying back,,,,,,,,,,,,,,,,,,,,
4,3,1,Old,and punches him in the face ,,,,,,,,,,,,,,,,,,,,
4,3,1,Old,so instead he decides to get a tightrope,,,,,,,,,,,,,,,,,,,,
4,3,1,Old,put the tightrope between two cliffs,,,,,,,,,,,,,,,,,,,,
4,3,1,Old,and walk out with an anvil,,,,,,,,,,,,,,,,,,,,
4,3,1,Old,and drop it on the uh roadrunner,,,,,,,,,,,,,,,,,,,,
4,3,1,Old,he’s got a little blueprint plans and everything ,mm-hmm,,,,,,,,,,,,,,,,,,,
4,3,1,Old,so he does it,,,,,,,,,,,,,,,,,,,,
4,3,1,Old,but as soon as he steps on the tightrope,,,,,,,,,,,,,,,,,,,,
4,3,1,Old,it stretches right down to the bottom,,,,,,,,,,,,,,,,,,,,
4,3,1,Old,because of the weight of the anvil ,,,,,,,,,,,,,,,,,,,,
4,3,1,Old,so the roadrunner comes up,,,,,,,,,,,,,,,,,,,,
4,3,1,Old,does his little BEEP BEEP,,,,,,,,,,,,,,,,,,,,
4,3,1,Old,flies away ,,,,,,,,,,,,,,,,,,,,
4,3,1,Old,he throws down the anvil,,,,,,,,,,,,,,,,,,,,
4,3,1,Old,and gets shshot up in the air by the tightrope,,,,,,,,,,,,,,,,,,,,
4,3,1,Old,but he looks confident,,,,,,,,,,,,,,,,,,,,
4,3,1,Old,because he’s got a parachute,,,,,,,,,,,,,,,,,,,,
4,3,1,Old,or he thinks,,,,,,,,,,,,,,,,,,,,
4,3,1,Old,because he pulls the cord on it ,,,,,,,,,,,,,,,,,,,,
4,3,1,Old,and just craps falls out like an axe a bowl ,,just,,,,,,,,,,,,,,,,,,
4,3,1,Old,and a spoon and a plate and a banana,,,,,,,,,,,,,,,,,,,,
4,3,1,Old,so as he’s falling down,,,,,,,,,,,,,,,,,,,,
4,3,1,Old,now he looks panicked,,,,,,,,,,,,,,,,,,,,
4,3,1,Old,he takes out his aspirin,,,,,,,,,,,,,,,,,,,,
4,3,1,Old,opens it up,,,,,,,,,,,,,,,,,,,,
4,3,1,Old,you know flying in the air,,you know,,,,,,,,,,,,,,,,,,
4,3,1,Old,grabs like two or three out of the air,,,,,,,,,,,,,,,,,,,,
4,3,1,Old,eats them,,,,,,,,,,,,,,,,,,,,
4,3,1,Old,and waves goodbye to the camera,,,,,,,,,,,,,,,,,,,,
4,3,1,Old,as he flies down hits the ground,,,,,,,,,,,,,,,,,,,,
4,3,1,Old,there’s the little like mushroom cloud of dust,,like,,,,,,,,,,,,,,,,,,
4,3,1,Old,so this time the roadrunner runs into thee,,,,,,,,,,,,,,,,,,,,
4,3,1,Old,wild cactus mine coyote chases after him,,,,,,,,,,,,,,,,,,,,
4,3,1,Old,runs into the mine but quickly it gets too dark,,,,,,,,,,,,,,,,,,,,
4,3,1,Old,so he runs back to the beginning ,,,,,,,,,,,,,,,,,,,,
4,3,1,Old,grabs a little miner’s cap with the ha light on it,,,,,,,,,,,,,,,,,,,,
4,3,1,Old,so he turns on his light’s red,,,,,,,,,,,,,,,,,,,,
4,3,1,Old,the roadrunner runs up,,,,,,,,,,,,,,,,,,,,
4,3,1,Old,his light’s green ,,,,,,,,,,,,,,,,,,,,
4,3,1,Old,so they run away,,,,,,,,,,,,,,,,,,,,
4,3,1,Old,and they cut to this sort of generic map view,,sort of,,,,,,,,,,,,,,,,,,
4,3,1,Old,where it’s just the tunnels on a map,mm-hmm,,,,,,,,,,,,,,,,,,,
4,3,1,Old,and you just see their lights green and red ,,,,,,,,,,,,,,,,,,,,
4,3,1,Old,so they’re running around and roadrunner gets in an elevator,,,,,,,,,,,,,,,,,,,,
4,3,1,Old,the coyote chases after him,,,,,,,,,,,,,,,,,,,,
4,3,1,Old,they’re running in a circle,,,,,,,,,,,,,,,,,,,,
4,3,1,Old,they’re going across up a uh ladder across down a ladder,,,,,,,,,,,,,,,,,,,,
