Triad,Narration,Listener,OldOrNew,Transcript,Audience,Hedges,Rising Intonation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,3,1,Old,okay so this is a coyote roadrunner cartoon ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,3,1,Old,and it opens with the desert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,3,1,Old,and you see roadrunner ahead of coyote running really fast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,3,1,Old,aand um coyote is um chasing him ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,3,1,Old,and he has a knife and a fork in his hands ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,3,1,Old,and he’s trying to get roadrunner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,3,1,Old,and finally um he gets closer to him ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,3,1,Old,so he makes a leap like to stab him with the knife and the fork ,,like,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,3,1,Old,so he can eat him ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,3,1,Old,and then he misses ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,3,1,Old,so he stabs the floor instead ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,3,1,Old,and then c roadrunner keeps on running ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,3,1,Old,so he’s frustrated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,3,1,Old,and he’s laying on the floor with the fork and the knife,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,3,1,Old,but then he has this new idea ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,3,1,Old,so then you see this large rock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,3,1,Old,that’s like hidden from where roadrunner could see when he passes by,,like,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,3,1,Old,and he has he puts like a metal ring around it,,like,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,3,1,Old,and a uh boxing glove which he attaches with a spring,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,3,1,Old,so that the boxing glove is going to you know punch roadrunner,,you know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,3,1,Old,as he um runs by,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,3,1,Old,so and that’s his plan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,3,1,Old,but somehow when roadrunner is about to pass ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,3,1,Old,the rock ends up like hitting him instead ?,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,3,1,Old,like it backs up into him somehow ? ,mm-hmm,like,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,3,1,Old,when I guess from the release of the boxing glove,,I guess,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,3,1,Old,and the boxing glove ends up hitting him,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,3,1,Old,instead it goes backwards instead of frontwards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,3,1,Old,soo you know that’s once again a failure ,,you know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,3,1,Old,so then he has a new plan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,3,1,Old,where you see him with like a plan actually planned out on paper,,like,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,3,1,Old,and you see that basically is gonna drop a metal ton below him,,basically,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,3,1,Old,’cause he’s gonna be in the middle of two cliffs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,3,1,Old,standing on a string ? ,mm-hmm,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,3,1,Old,and he’s gonna drop a metal t ton below him that’s gonna run the roadrunner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,3,1,Old,and he’ll be able to get him like that ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,3,1,Old,so then when he actually does it,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,3,1,Old,what he doesn’t realize is that gravity ’cause then um,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,3,1,Old,he takes the metal ton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,3,1,Old,and he’s about to walk on um the string,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,3,1,Old,and as he starts walking on it,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,3,1,Old,it brings him all the way back down to where roadrunner is,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,3,1,Old,and by the time he’s down the roadrunner is right in front of him,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,3,1,Old,and he sees that coyote’s blocking his way,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,3,1,Old,so he turns around and goes the other way ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,3,1,Old,so then coyote gets frustrated again,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,3,1,Old,and he drops the ton on the floor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,3,1,Old,and then he ends up shooting back up into the sky ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,3,1,Old,and then,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,3,1,Old,but he thinks he’s okay because he thinks he has a parachute,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,3,1,Old,and he pulls the string,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
